feature,rho22,rho23,rho24,stable_abs_rho
asof_pitcher_prev1_game_success_rate,0.004445918251174479,0.011348774912258643,0.002307991901986646,0.002307991901986646
outs_before,0.002140485291475699,0.004406486791101107,0.0030964546441913906,0.002140485291475699
balls_before,-0.002803982319168528,-0.0016084505379696673,-0.0015810427395922134,0.0015810427395922134
home_win_expectancy,-0.002795808218219437,-0.0014609129131279948,-0.002609091334635969,0.0014609129131279948
score_diff_pitcher_team,-0.0030503532376393635,-0.001587172869204511,-0.0011897837637951457,0.0011897837637951457
asof_pitcher_ball_rate,-0.0020057936511256574,-0.04148885236622825,-0.0008514933889235342,0.0008514933889235342
asof_pitcher_breaking_rate,-0.0007913329959084196,-0.007498446045435174,-0.0036425280581569358,0.0007913329959084196
li,-0.0013621873581542074,-0.0014343726019826007,-0.00018537671580307372,0.00018537671580307372
run_total_before,6.569817921698802e-05,-0.002441539557008007,0.00042721024818695387,-6.569817921698802e-05
inning,-0.002800477335614788,0.0002963109203034187,-0.0024950517145145112,-0.0002963109203034187
strikes_before,-0.00348282504844143,-0.0004232323969987896,0.005174584340250978,-0.0004232323969987896
asof_pitcher_success_rate,-0.006580013919046772,-0.017361065710873674,0.0006368375773541214,-0.0006368375773541214
asof_batter_middle_rate,-0.0006795206172194913,0.041235422550776675,-0.0032859919687764066,-0.0006795206172194913
asof_pitcher_offspeed_rate,-0.0007042037406819081,0.024408249888076747,0.005462512275813521,-0.0007042037406819081
asof_pitcher_strike_rate,-0.0007283324671875657,0.041423928525170274,-0.0021085523387073847,-0.0007283324671875657
asof_batter_success_rate,0.002695661788014704,-0.033665809780816985,0.0008537150448657585,-0.0008537150448657585
asof_pitcher_reverse_rate,0.005597789496688984,0.013227434790989244,-0.0010198643050886734,-0.0010198643050886734
asof_pitcher_prev3_game_success_rate,-0.0040560569566995735,0.008953888549706152,0.0010384178310532677,-0.0010384178310532677
asof_pitcher_n,0.0024028913793533706,0.028948990947104132,-0.00142888130207439,-0.00142888130207439
asof_pitcher_pitchmix_n,0.0024028913793533706,0.028948990947104132,-0.00142888130207439,-0.00142888130207439
asof_pitcher_prev5_game_success_rate,-0.007117186014479349,0.00662452364615433,0.0015772370947216205,-0.0015772370947216205
asof_pitcher_fastball_rate,0.0016153432871338833,-0.019640633966949744,-0.0017990778202029588,-0.0016153432871338833
num_runners_on,0.001766550408894581,-0.004815152877787641,0.0018577722376900458,-0.001766550408894581
asof_pitcher_middle_rate,0.0042992742797697,0.030513489782011294,-0.0020033266936517542,-0.0020033266936517542
asof_batter_n,-0.006486035975926274,0.04324068155134796,-0.0023093260890389993,-0.0023093260890389993
