scale,bss,delta_bss,lb_delta_shape_projection,lb_score_shape_projection
0.0,897.6978760835142,0.0,0.0,1126.8664003703
0.005,897.9232202041221,0.22534412060792874,0.08848319894477669,1126.9548835692447
0.01,898.1372559975775,0.43937991406335186,0.17252609139977948,1127.0389264616997
0.015,898.3399834638694,0.6421073803552417,0.25212867736067834,1127.1185290476606
0.02,898.5314026030089,0.8335265194947397,0.3272909568318479,1127.1936913271318
0.025,898.7115134150181,1.013637331503901,0.39801292982194836,1127.264413300122
0.03,898.8803158998637,1.1824398163495289,0.46429459631794495,1127.330694966618
0.035,899.037810057557,1.339933974042765,0.5261359563242122,1127.3925363266242
0.04,899.1839958880865,1.486119804572354,0.5835370098363309,1127.4499373801364
0.045,899.3188733914526,1.62099730793841,0.6364977568543456,1127.5028981271544
0.05,899.4424425677106,1.7445664841964117,0.6850181974000407,1127.5514185677
0.055,899.5547034167606,1.8568273332464287,0.7290983314341775,1127.5954987017342
0.06,899.6556559387247,1.9577798552105605,0.7687381590046996,1127.6351385293046
0.065,899.7453001335032,2.04742404998899,0.8039376800724127,1127.6703380503725
0.07,899.8236360011181,2.1257599176038866,0.834696894646022,1127.701097264946
0.075,899.8906635416026,2.1927874580884463,0.8610158027385622,1127.7274161730386
0.08,899.9463827549458,2.2485066714316417,0.8828944043457033,1127.7492947746457
0.085,899.9907936410812,2.292917557566966,0.9003326994413307,1127.7667330697413
0.09,900.0238962001195,2.326020116605264,0.9133306880689686,1127.779731058369
0.095,900.0456904319831,2.347814348468887,0.9218883701981279,1127.788288740498
0.1,900.0561763367054,2.35830025319126,0.9260057458419326,1127.7924061161418
0.105,900.055353914242,2.3574778307278166,0.9256828149828839,1127.7920831852828
0.11,900.0432231647037,2.345347081189516,0.9209195776645505,1127.7873199479645
0.115,900.0197840879132,2.321908004399006,0.9117160338172937,1127.7781164041173
0.12,899.9850366840478,2.287160600533639,0.8980721835107522,1127.7644725538107
0.125,899.9389809530078,2.241104869493597,0.8799880267057322,1127.7463883970056
0.13,899.881616894782,2.183740811267853,0.8574635633979033,1127.7238639336979
0.135,899.8129445094149,2.115068425900745,0.8304987936046752,1127.6968991639046
0.14,899.7329637969731,2.0350877134588927,0.7990937173522071,1127.6654940876522
0.145,899.6416747573121,1.9437986737979145,0.763248334583806,1127.6296487048837
0.15,899.5390773904544,1.8412013069402065,0.722962645308266,1127.5893630156083
